날짜,종가,전일비,시가,고가,저가,거래량
2022.03.18,70700.0,500.0,70600.0,70900.0,70200.0,14233162.0
2022.03.17,71200.0,800.0,71200.0,71800.0,70900.0,17646315.0
2022.03.16,70400.0,900.0,70200.0,70500.0,69700.0,10175750.0
2022.03.15,69500.0,700.0,69800.0,70100.0,69500.0,10258562.0
2022.03.14,70200.0,200.0,70000.0,70200.0,69600.0,9040993.0
2022.03.11,70000.0,1200.0,70500.0,70700.0,69700.0,15787655.0
2022.03.10,71200.0,1700.0,70800.0,71200.0,70500.0,21159248.0
2022.03.08,69500.0,600.0,68800.0,70000.0,68700.0,15828269.0
2022.03.07,70100.0,1400.0,70000.0,70600.0,69900.0,18617138.0
2022.03.04,71500.0,1400.0,72700.0,72700.0,71200.0,13409634.0
2022.03.03,72900.0,1200.0,72300.0,73100.0,72200.0,13232638.0
2022.03.02,71700.0,400.0,72300.0,72400.0,71500.0,12481430.0
2022.02.28,72100.0,200.0,71100.0,72100.0,71000.0,17781783.0
2022.02.25,71900.0,400.0,72100.0,72600.0,71900.0,13168484.0
2022.02.24,71500.0,1500.0,72300.0,72300.0,71300.0,15759283.0
2022.02.23,73000.0,400.0,73800.0,73800.0,72800.0,10397964.0
2022.02.22,73400.0,800.0,73000.0,73400.0,72800.0,11692469.0
2022.02.21,74200.0,100.0,73200.0,74300.0,72600.0,10489717.0
2022.02.18,74300.0,700.0,74600.0,74800.0,73700.0,10122226.0
2022.02.17,75000.0,200.0,75000.0,75600.0,74500.0,13605382.0
2022.02.16,74800.0,1100.0,74600.0,74900.0,74200.0,10767386.0
2022.02.15,73700.0,0.0,74100.0,74200.0,73100.0,9320365.0
2022.02.14,73700.0,1200.0,74400.0,74500.0,73100.0,13993255.0
2022.02.11,74900.0,500.0,75000.0,75500.0,74600.0,12205407.0
2022.02.10,75400.0,700.0,75600.0,75800.0,74700.0,17746033.0
2022.02.09,74700.0,1200.0,74300.0,74700.0,74000.0,9699122.0
2022.02.08,73500.0,500.0,73800.0,74200.0,73000.0,11736666.0
2022.02.07,73000.0,1000.0,73500.0,73600.0,72400.0,14240838.0
2022.02.04,74000.0,700.0,74300.0,74600.0,73400.0,12730034.0
2022.02.03,73300.0,0.0,74900.0,74900.0,73300.0,17744721.0
